Country,Phase,Result,Date,Display,Score
Morocco,GroupStage #1,D,2022-11-23,Morocco-Croatia,0-0
Morocco,GroupStage #2,W,2022-11-27,Belgium-Morocco,0-2
Morocco,GroupStage #3,W,2022-12-01,Canada-Morocco,1-2
Morocco,Round of 16,D,2022-12-06,Morocco-Spain,0-0 (3-0 pk)
Morocco,Quarter-finals,W,2022-12-10,Morocco-Portugal,1-0
Morocco,Semi-finals,L,2022-12-14,France-Morocco,2-0
Morocco,Third-place match,L,2022-12-17,Croatia-Morocco,2-1
Argentina,GroupStage #1,L,2022-11-22,Argentina-Saudi Arabia,1-2
Argentina,GroupStage #2,W,2022-11-26,Argentina-Mexico,2-0
Argentina,GroupStage #3,W,2022-11-30,Poland-Argentina,2-0
Argentina,Round of 16,W,2022-12-03,Argentina-Australia,2-1
Argentina,Quarter-finals,D,2022-12-09,Netherlands-Argentina,2-2 (3-4 pk)
Argentina,Semi-finals,W,2022-12-13,Argentina-Croatia,3-0
Argentina,Final,W,2022-12-18,Argentina-France,3-3 (4-2 pk)
France,GroupStage #1,W,2022-11-22,France-Australia,4-1
France,GroupStage #2,W,2022-11-26,France-Denmark,2-1
France,GroupStage #3,L,2022-11-30,Tunisia-France,0-1
France,Round of 16,W,2022-12-04,France-Poland,3-1
France,Quarter-finals,W,2022-12-10,England-France,1-2
France,Semi-finals,W,2022-12-14,France-Morocco,2-0
France,Final,L,2022-12-18,Argentina-France,3-3 (4-2 pk)
Croatia,GroupStage #1,D,2022-11-23,Morocco-Croatia,0-0
Croatia,GroupStage #2,W,2022-11-27,Croatia-Canada,4-1
Croatia,GroupStage #3,D,2022-12-01,Croatia-Belgium,0-0
Croatia,Round of 16,D,2022-12-05,Japan-Croatia,1-1 (1-3 pk)
Croatia,Quarter-finals,D,2022-12-09,Croatia-Brazil,1-1 (4-2 pk)
Croatia,Semi-finals,L,2022-12-13,Argentina-Croatia,3-0
Croatia,Third-place match,W,2022-12-17,Croatia-Morocco,2-1
Senegal,GroupStage #1,L,2022-11-21,Senegal-Netherlands,0-2
Senegal,GroupStage #2,W,2022-11-25,Qatar-Senegal,1-3
Senegal,GroupStage #3,W,2022-11-29,Ecuador-Senegal,1-2
Senegal,Round of 16,L,2022-12-04,England-Senegal,3-0
Tunisia,GroupStage #1,D,2022-11-22,Denmark-Tunisia,0-0
Tunisia,GroupStage #2,L,2022-11-26,Tunisia-Australia,0-1
Tunisia,GroupStage #3,W,2022-11-30,Tunisia-France,1-0
Ghana,GroupStage #1,L,2022-11-24,Portugal-Ghana,3-2
Ghana,GroupStage #2,W,2022-11-28,Korea Republic-Ghana,2-3
Ghana,GroupStage #3,L,2022-12-02,Ghana-Uruguay,0-2